	-1	-1	200	200	-1	-1	1 to 2
	-1	200	2000	200	-1	-1	1 to 6
	-1	400	-1	2200	-1	-1	1 to 8
	500	500	2000	500	1800	-1	1 to 10
	500	500	2000	500	-1	500	1 to 11
	-1	500	2000	500	-1	500	1 to 12
	-1	200	2000	200	200	200	2 to 6
	-1	400	-1	-1	-1	-1	2 to 8
	-1	500	-1	500	-1	-1	2 to 10
	1800	500	2000	500	-1	-1	2 to 11
	1800	-1	2000	500	-1	-1	2 to 12
	200	-1	-1	2000	-1	-1	6 to 8
	300	300	1800	300	-1	-1	6 to 10
	300	300	1800	300	-1	300	6 to 11
	300	300	-1	300	300	-1	6 to 12
	300	300	300	1800	-1	300	8 to 10
	300	300	-1	1800	-1	300	8 to 11
	300	-1	300	1800	-1	300	8 to 12
	200	200	200	200	-1	200	10 to 11
	200	200	-1	200	-1	-1	10 to 12
	200	200	-1	200	200	-1	11 to 12
	1800	1800	-1	1800	1800	1800	1 to 0
	1800	1800	-1	1800	1800	-1	2 to 0
	-1	-1	1400	1400	1400	-1	3 to 0
	-1	1400	-1	1400	-1	-1	4 to 0
	1000	-1	1000	1000	-1	1000	5 to 0
	1800	1800	1800	1800	-1	1800	6 to 0
	-1	1400	-1	1400	-1	1400	7 to 0
	1800	1800	-1	1800	-1	-1	8 to 0
	-1	1000	1000	1000	1000	1000	9 to 0
	2200	2200	-1	2200	-1	-1	10 to 0
	2200	-1	2200	2200	2200	-1	11 to 0
	2200	-1	-1	2200	-1	2200	12 to 0
